N,Unnamed: 1,Unnamed: 2
0.00053043,1594.882,4.387e-09
0.0005366,1601.453,4.609e-09
0.00054276,1607.53,4.791e-09
0.00054893,1613.133,4.93e-09
0.0005551,1618.283,5.022e-09
0.00056127,1623.005,5.069e-09
0.00056743,1627.323,5.071e-09
0.0005736,1631.265,5.03e-09
0.00057977,1634.857,4.952e-09
0.00058594,1638.127,4.84e-09
0.00059211,1641.101,4.7e-09
0.00059827,1643.806,4.537e-09
0.00060444,1646.266,4.357e-09
0.00061061,1648.505,4.165e-09
0.00061678,1650.545,3.965e-09
0.00062294,1652.408,3.762e-09
0.00062911,1654.111,3.559e-09
0.00063528,1655.673,3.359e-09
0.00064145,1657.108,3.166e-09
0.00064762,1658.432,2.979e-09
0.00065378,1659.658,2.802e-09
0.00065995,1660.795,2.634e-09
0.00066612,1661.855,2.476e-09
0.00067845,1663.77,2.193e-09
0.00069079,1665.47,1.949e-09
0.00070312,1666.999,1.741e-09
0.00071546,1668.389,1.565e-09
0.0007278,1669.667,1.417e-09
0.00074013,1670.85,1.291e-09
0.00075247,1671.952,1.183e-09
0.0007648,1672.985,1.092e-09
0.00077714,1673.955,1.012e-09
0.00078947,1674.869,9.44e-10
0.00080181,1675.733,8.84e-10
0.00081414,1676.549,8.31e-10
0.00082648,1677.322,7.83e-10
0.00083882,1678.053,7.41e-10
0.00085115,1678.746,7.03e-10
0.00086349,1679.401,6.69e-10
0.00087582,1680.021,6.37e-10
0.00088816,1680.608,6.08e-10
0.00091283,1681.685,5.57e-10
0.0009375,1682.647,5.13e-10
0.00096217,1683.504,4.74e-10
0.00098684,1684.263,4.4e-10
0.00101151,1684.932,4.09e-10
0.00103618,1685.519,3.82e-10
0.00108553,1686.463,3.35e-10
0.00113487,1687.156,2.96e-10
0.00118421,1687.632,2.62e-10
0.00123355,1687.922,2.34e-10
0.00128289,1688.048,2.09e-10
0.00138158,1687.87,1.69e-10
0.00148026,1687.272,1.39e-10
0.00157895,1686.338,1.15e-10
0.00167763,1685.133,9.5e-11
0.00177632,1683.709,8e-11
0.001875,1682.106,6.8e-11
0.00197368,1680.358,5.8e-11
0.00207237,1678.493,5e-11
0.00217105,1676.538,4.3e-11
0.00226974,1674.512,3.7e-11
0.00236842,1672.437,3.3e-11
0.00246711,1670.329,2.9e-11
0.00256579,1668.204,2.5e-11
0.00266447,1666.074,2.2e-11
0.00276316,1663.954,2e-11
0.00286184,1661.853,1.7e-11
0.00296053,1659.782,1.6e-11
0.00305921,1657.75,1.4e-11
0.00315789,1655.764,1.3e-11
0.00325658,1653.832,1.1e-11
0.00335526,1651.962,1e-11
0.00355263,1648.424,8e-12
0.00375,1645.16,7e-12
0.00394737,1642.194,6e-12
0.00414474,1639.541,5e-12
0.00434211,1637.209,4e-12
0.00453947,1635.205,4e-12
0.00473684,1633.53,3e-12
0.00513158,1631.194,3e-12
0.00552632,1629.96,2e-12
0.00592105,1629.719,2e-12
0.00631579,1630.304,2e-12
0.00671053,1631.488,1e-12
0.00710526,1632.973,1e-12
0.0075,1634.357,1e-12
0.00789474,1635.088,1e-12
0.00868421,1632.108,1e-12
0.00947368,1616.893,1e-12
0.00986842,1601.379,0.0
0.01026316,1578.985,0.0
0.01065789,1559.983,0.0
0.01085526,1551.359,0.0
0.01105263,1543.225,0.0
0.01115132,1539.257,0.0
0.01125,1535.34,0.0
0.01134868,1531.458,0.0
0.01144737,1527.615,0.0
0.01164474,1520.151,0.0
0.01174342,1516.86,0.0
0.01184211,1514.267,0.0
0.01203947,1513.184,0.0
0.01223684,1511.894,0.0
0.01243421,1510.448,0.0
0.01263158,1508.883,0.0
0.01302632,1505.488,0.0
0.01342105,1501.93,0.0
0.01421053,1494.633,0.0
0.015,1487.344,0.0
0.01578947,1480.199,0.0
0.01657895,1473.199,0.0
0.01736842,1466.289,0.0
0.01894737,1452.597,0.0
0.02052632,1438.417,0.0
0.02210526,1423.11,0.0
0.02368421,1406.146,0.0
0.02526316,1387.015,0.0
0.02684211,1365.323,0.0
0.02842105,1341.176,0.0
0.02921053,1328.526,0.0
0.03,1316.05,0.0
0.03075,1306.409,0.0
0.0315,1306.409,0.0
        NO ,,
0,300.0,0.0
2.467e-05,367.811,8.8033e-08
4.934e-05,434.126,1.15909e-07
7.401e-05,499.022,1.54143e-07
9.868e-05,562.738,2.04265e-07
0.00011102,594.294,2.35337e-07
0.00012336,625.688,2.7026e-07
0.00013569,656.957,3.09187e-07
0.00014803,688.139,3.52215e-07
0.00015419,703.715,3.75549e-07
0.00016036,719.285,3.99951e-07
0.00016653,734.855,4.25412e-07
0.0001727,750.427,4.51921e-07
0.00017887,766.008,4.79462e-07
0.00018503,781.6,5.08015e-07
0.0001912,797.208,5.37558e-07
0.00019737,812.836,5.68067e-07
0.00020354,828.488,5.99515e-07
0.0002097,844.167,6.31874e-07
0.00021587,859.877,6.65118e-07
0.00022204,875.622,6.99218e-07
0.00022821,891.404,7.34147e-07
0.00023437,907.226,7.69881e-07
0.00024671,938.995,8.43038e-07
0.00025288,954.949,8.81015e-07
0.00025905,970.952,9.19715e-07
0.00027138,1003.103,9.98577e-07
0.00028372,1035.447,1.080102e-06
0.00029605,1067.978,1.164259e-06
0.00030839,1100.676,1.251062e-06
0.00032072,1133.509,1.340564e-06
0.00033306,1166.43,1.432858e-06
0.00034539,1199.373,1.528069e-06
0.00035156,1215.821,1.577168e-06
0.00035773,1232.241,1.62708e-06
0.00037007,1264.952,1.728736e-06
0.00037623,1281.195,1.781206e-06
0.0003824,1297.343,1.834595e-06
0.00038857,1313.377,1.888931e-06
0.00039474,1329.275,1.944245e-06
0.0004009,1345.014,2.000567e-06
0.00040707,1360.571,2.057928e-06
0.00041324,1375.919,2.116357e-06
0.00041941,1391.033,2.175881e-06
0.00042558,1405.885,2.236528e-06
0.00043174,1420.45,2.298321e-06
0.00043791,1434.697,2.361277e-06
0.00044408,1448.601,2.42541e-06
0.00045025,1462.133,2.490726e-06
0.00045641,1475.268,2.557224e-06
0.00046258,1487.979,2.624891e-06
0.00046875,1500.243,2.693703e-06
0.00047492,1512.037,2.763626e-06
0.00048109,1523.343,2.834608e-06
0.00048725,1534.142,2.906586e-06
0.00049342,1544.422,2.979481e-06
0.00049959,1554.172,3.053198e-06
0.00050576,1563.385,3.127628e-06
0.00051192,1572.06,3.20265e-06
0.00051809,1580.197,3.278131e-06
0.00052426,1587.801,3.353926e-06
0.00053043,1594.882,3.429886e-06
0.0005366,1601.453,3.505858e-06
0.00054276,1607.53,3.581686e-06
0.00054893,1613.133,3.657216e-06
0.0005551,1618.283,3.732299e-06
0.00056127,1623.005,3.806795e-06
0.00056743,1627.323,3.880571e-06
0.0005736,1631.265,3.953507e-06
0.00057977,1634.857,4.025494e-06
0.00058594,1638.127,4.096437e-06
0.00059211,1641.101,4.166255e-06
0.00059827,1643.806,4.234882e-06
0.00060444,1646.266,4.302263e-06
0.00061061,1648.505,4.368356e-06
