N,Unnamed: 1,Unnamed: 2
0.01065789,1482.35,8.22671e-07
0.01105263,1451.728,8.22378e-07
0.01144737,1425.058,8.22027e-07
0.01164474,1413.073,8.21862e-07
0.01174342,1407.824,8.21789e-07
0.01184211,1403.418,8.21726e-07
0.01194079,1400.369,8.21674e-07
0.01203947,1399.499,8.21635e-07
0.01223684,1397.56,8.2159e-07
0.01243421,1395.43,8.21572e-07
0.01263158,1393.156,8.21572e-07
0.01302632,1388.284,8.21602e-07
0.01342105,1383.209,8.21641e-07
0.01421053,1372.823,8.21703e-07
0.015,1362.517,8.21728e-07
0.01578947,1352.469,8.21719e-07
0.01657895,1342.718,8.2168e-07
0.01736842,1333.236,8.21612e-07
0.01894737,1314.97,8.21386e-07
0.02052632,1296.794,8.21065e-07
0.02210526,1278.035,8.20634e-07
0.02368421,1258.161,8.20063e-07
0.02526316,1236.759,8.19316e-07
0.02684211,1213.74,8.1836e-07
0.02842105,1190.057,8.17217e-07
0.03,1170.131,8.16133e-07
0.0315,1170.131,0.0
NO2,,
0,300.0,0.0
4.934e-05,331.475,1.28e-10
9.868e-05,360.18,1.62e-10
0.00014803,386.423,2.03e-10
0.00019737,410.492,2.53e-10
0.00029605,452.851,3.77e-10
0.00039474,489.558,5.46e-10
0.00049342,522.005,7.74e-10
0.00059211,551.304,1.079e-09
0.00078947,602.922,1.967e-09
0.00098684,650.452,3.374e-09
0.00118421,696.852,5.531e-09
0.00138158,744.143,8.698e-09
0.00157895,793.839,1.3091e-08
0.00177632,847.271,1.8709e-08
0.00197368,905.918,2.5033e-08
0.00207237,938.122,2.7983e-08
0.00217105,972.838,3.042e-08
0.00226974,1010.665,3.1917e-08
0.00236842,1052.37,3.1992e-08
0.00246711,1098.883,3.0178e-08
0.00251645,1124.353,2.8412e-08
0.00256579,1151.444,2.6082e-08
0.00259046,1165.621,2.4718e-08
0.00261513,1180.223,2.3241e-08
0.0026398,1195.238,2.1669e-08
0.00266447,1210.645,2.0026e-08
0.00268914,1226.408,1.8338e-08
0.00271382,1242.475,1.6633e-08
0.00272615,1250.597,1.5783e-08
0.00273849,1258.767,1.494e-08
0.00276316,1275.212,1.3294e-08
0.00277549,1283.441,1.2496e-08
0.00278783,1291.658,1.1719e-08
0.00280016,1299.843,1.0967e-08
0.0028125,1307.973,1.0242e-08
0.00282484,1316.027,9.547e-09
0.00283717,1323.979,8.884e-09
0.00284951,1331.803,8.253e-09
0.00286184,1339.473,7.656e-09
0.00287418,1346.961,7.093e-09
0.00288651,1354.239,6.565e-09
