0	        H2 
0.00552632	1629.960	0.000011795875
0.00592105	1629.719	0.000009324762
0.00631579	1630.304	0.000007497461
0.00671053	1631.488	0.000006122840
0.00710526	1632.973	0.000005072913
0.00750000	1634.357	0.000004260444
0.00789474	1635.088	0.000003625226
0.00868421	1632.108	0.000002744590
0.00947368	1616.893	0.000002165329
0.00986842	1601.379	0.000001957494
0.01026316	1578.985	0.000001796561
0.01065789	1559.983	0.000001622933
0.01085526	1551.359	0.000001535784
0.01105263	1543.225	0.000001450186
0.01115132	1539.257	0.000001408653
0.01125000	1535.340	0.000001368148
0.01134868	1531.458	0.000001328789
0.01144737	1527.615	0.000001290590
0.01164474	1520.151	0.000001217149
0.01174342	1516.860	0.000001180409
0.01184211	1514.267	0.000001142451
0.01203947	1513.184	0.000001059430
0.01223684	1511.894	0.000000983855
0.01243421	1510.448	0.000000916502
0.01263158	1508.883	0.000000856367
0.01302632	1505.488	0.000000754508
0.01342105	1501.930	0.000000670072
0.01421053	1494.633	0.000000541336
0.01500000	1487.344	0.000000444766
0.01578947	1480.199	0.000000370452
0.01657895	1473.199	0.000000312203
0.01736842	1466.289	0.000000265976
0.01894737	1452.597	0.000000200677
0.02052632	1438.417	0.000000155182
0.02210526	1423.110	0.000000122545
0.02368421	1406.146	0.000000098487
0.02526316	1387.015	0.000000080307
0.02684211	1365.323	0.000000066223
0.02842105	1341.176	0.000000054968
0.02921053	1328.526	0.000000050107
0.03000000	1316.050	0.000000046007
0.03075000	1306.409	0.000000043315
0.03150000	1306.409	0.000000000000
2	         O 
0.00000000	 300.000	0.000000000000
0.00002467	 367.811	0.000000024857
0.00004934	 434.126	0.000000036913
0.00007401	 499.022	0.000000061126
0.00009868	 562.738	0.000000106027
0.00011102	 594.294	0.000000144023
0.00012336	 625.688	0.000000196044
0.00013569	 656.957	0.000000267657
0.00014803	 688.139	0.000000366536
0.00015419	 703.715	0.000000430914
0.00016036	 719.285	0.000000506613
0.00016653	 734.855	0.000000595554
0.00017270	 750.427	0.000000699922
0.00017887	 766.008	0.000000822191
0.00018503	 781.600	0.000000965146
0.00019120	 797.208	0.000001131907
0.00019737	 812.836	0.000001325961
0.00020354	 828.488	0.000001551186
0.00020970	 844.167	0.000001811894
0.00021587	 859.877	0.000002112877
0.00022204	 875.622	0.000002459454
0.00022821	 891.404	0.000002857542
0.00023437	 907.226	0.000003313733
0.00024671	 938.995	0.000004411771
0.00025288	 954.949	0.000005087834
0.00025905	 970.952	0.000005856181
0.00027138	1003.103	0.000007687416
0.00028372	1035.447	0.000010028821
0.00029605	1067.978	0.000013009617
0.00030839	1100.676	0.000016791903
0.00032072	1133.509	0.000021578634
0.00033306	1166.430	0.000027623006
0.00034539	1199.373	0.000035239277
0.00035156	1215.821	0.000039816806
0.00035773	1232.241	0.000044952495
0.00037007	1264.952	0.000057011428
0.00037623	1281.195	0.000064235771
0.00038240	1297.343	0.000072325578
0.00038857	1313.377	0.000081381290
0.00039474	1329.275	0.000091513720
0.00040090	1345.014	0.000102844842
0.00040707	1360.571	0.000115508495
0.00041324	1375.919	0.000129650940
0.00041941	1391.033	0.000145431188
0.00042558	1405.885	0.000163020998
0.00043174	1420.450	0.000182604410
0.00043791	1434.697	0.000204376698
0.00044408	1448.601	0.000228542565
0.00045025	1462.133	0.000255313454
0.00045641	1475.268	0.000284903817
0.00046258	1487.979	0.000317526249
0.00046875	1500.243	0.000353385441
0.00047492	1512.037	0.000392670972
0.00048109	1523.343	0.000435549081
0.00048725	1534.142	0.000482153675
0.00049342	1544.422	0.000532576947
0.00049959	1554.172	0.000586860114
0.00050576	1563.385	0.000644984857
0.00051192	1572.060	0.000706866129
0.00051809	1580.197	0.000772346962
0.00052426	1587.801	0.000841195846
0.00053043	1594.882	0.000913107111
0.00053660	1601.453	0.000987704554
0.00054276	1607.530	0.001064548292
0.00054893	1613.133	0.001143144584
0.00055510	1618.283	0.001222958142
0.00056127	1623.005	0.001303426234
0.00056743	1627.323	0.001383973774
0.00057360	1631.265	0.001464028552
0.00057977	1634.857	0.001543035768
0.00058594	1638.127	0.001620471162
0.00059211	1641.101	0.001695852170
0.00059827	1643.806	0.001768746725
0.00060444	1646.266	0.001838779519
0.00061061	1648.505	0.001905635721
0.00061678	1650.545	0.001969062288
0.00062294	1652.408	0.002028867157
0.00062911	1654.111	0.002084916634
0.00063528	1655.673	0.002137131383
0.00064145	1657.108	0.002185481385
0.00064762	1658.432	0.002229980249
0.00065378	1659.658	0.002270679178
0.00065995	1660.795	0.002307660886
0.00066612	1661.855	0.002341033665
0.00067845	1663.770	0.002397321235
0.00069079	1665.470	0.002441014182
0.00070312	1666.999	0.002473434965
0.00071546	1668.389	0.002495917731
0.00072780	1669.667	0.002509744006
0.00074013	1670.850	0.002516103304
0.00075247	1671.952	0.002516072703
0.00076480	1672.985	0.002510609839
0.00077714	1673.955	0.002500554746
0.00078947	1674.869	0.002486637017
0.00080181	1675.733	0.002469485787
0.00081414	1676.549	0.002449640816
0.00082648	1677.322	0.002427563597
0.00083882	1678.053	0.002403647856
0.00085115	1678.746	0.002378229098
0.00086349	1679.401	0.002351593077
0.00087582	1680.021	0.002323983177
0.00088816	1680.608	0.002295606751
0.00091283	1681.685	0.002237096025
0.00093750	1682.647	0.002177347420
0.00096217	1683.504	0.002117162277
0.00098684	1684.263	0.002057130745
0.00101151	1684.932	0.001997687214
0.00103618	1685.519	0.001939150630
0.00108553	1686.463	0.001825518878
0.00113487	1687.156	0.001717409410
0.00118421	1687.632	0.001615316137
0.00123355	1687.922	0.001519384545
0.00128289	1688.048	0.001429558655
0.00138158	1687.870	0.001267762835
0.00148026	1687.272	0.001126654308
0.00157895	1686.338	0.001003779425
0.00167763	1685.133	0.000896751990
0.00177632	1683.709	0.000803405960
0.00187500	1682.106	0.000721834935
0.00197368	1680.358	0.000650388626
0.00207237	1678.493	0.000587651646
0.00217105	1676.538	0.000532416172
0.00226974	1674.512	0.000483653970
0.00236842	1672.437	0.000440490307
0.00246711	1670.329	0.000402180717
0.00256579	1668.204	0.000368090872
0.00266447	1666.074	0.000337679418
0.00276316	1663.954	0.000310483477
0.00286184	1661.853	0.000286106484
0.00296053	1659.782	0.000264208020
0.00305921	1657.750	0.000244495332
0.00315789	1655.764	0.000226716293
0.00325658	1653.832	0.000210653633
0.00335526	1651.962	0.000196120615
0.00355263	1648.424	0.000171160933
0.00375000	1645.160	0.000150331228
0.00394737	1642.194	0.000132836918
0.00414474	1639.541	0.000118053463
0.00434211	1637.209	0.000105490943
0.00453947	1635.205	0.000094763786
0.00473684	1633.530	0.000085568347
0.00513158	1631.194	0.000071044408
0.00552632	1629.960	0.000059879636
0.00592105	1629.719	0.000051161794
0.00631579	1630.304	0.000044255055
0.00671053	1631.488	0.000038709710
0.00710526	1632.973	0.000034202303
0.00750000	1634.357	0.000030496955
0.00789474	1635.088	0.000027420742
0.00868421	1632.108	0.000022751406
0.00947368	1616.893	0.000019219119
0.00986842	1601.379	0.000017776619
0.01026316	1578.985	0.000016537724
0.01065789	1559.983	0.000015202998
0.01085526	1551.359	0.000014534488
0.01105263	1543.225	0.000013877511
0.01115132	1539.257	0.000013557667
0.01125000	1535.340	0.000013245153
0.01134868	1531.458	0.000012940901
0.01144737	1527.615	0.000012645346
0.01164474	1520.151	0.000012078368
0.01174342	1516.860	0.000011798291
0.01184211	1514.267	0.000011512333
0.01203947	1513.184	0.000010891491
0.01223684	1511.894	0.000010326036
0.01243421	1510.448	0.000009816994
0.01263158	1508.883	0.000009356343
0.01302632	1505.488	0.000008558986
0.01342105	1501.930	0.000007875446
0.01421053	1494.633	0.000006781726
0.01500000	1487.344	0.000005908408
0.01578947	1480.199	0.000005196314
0.01657895	1473.199	0.000004607093
0.01736842	1466.289	0.000004115018
0.01894737	1452.597	0.000003369640
0.02052632	1438.417	0.000002804473
0.02210526	1423.110	0.000002365519
0.02368421	1406.146	0.000002016688
0.02526316	1387.015	0.000001733619
0.02684211	1365.323	0.000001499214
0.02842105	1341.176	0.000001300326
0.02921053	1328.526	0.000001210857
0.03000000	1316.050	0.000001132896
0.03075000	1306.409	0.000001079665
0.03150000	1306.409	0.000000000000
3	        O2 
0.00000000	 300.000	0.000000000000
0.00002467	 367.811	0.182827539201
0.00004934	 434.126	0.180418842757
0.00007401	 499.022	0.177745747229
0.00009868	 562.738	0.174786170027
0.00011102	 594.294	0.173144100778
0.00012336	 625.688	0.171415620392
0.00013569	 656.957	0.169598093406
0.00014803	 688.139	0.167688998561
0.00015419	 703.715	0.166687720073
0.00016036	 719.285	0.165661670908
0.00016653	 734.855	0.164610548851
0.00017270	 750.427	0.163534058964
0.00017887	 766.008	0.162431913859
0.00018503	 781.600	0.161303834113
0.00019120	 797.208	0.160149548892
0.00019737	 812.836	0.158968796826
0.00020354	 828.488	0.157761327166
0.00020970	 844.167	0.156526901249
0.00021587	 859.877	0.155265294299
0.00022204	 875.622	0.153976297560
0.00022821	 891.404	0.152659720777
0.00023437	 907.226	0.151315395030
0.00024671	 938.995	0.148567503260
0.00025288	 954.949	0.147140549165
0.00025905	 970.952	0.145685471458
0.00027138	1003.103	0.142715888738
0.00028372	1035.447	0.139637982668
0.00029605	1067.978	0.136453140840
0.00030839	1100.676	0.133163816571
0.00032072	1133.509	0.129773755306
